bank,init,regimen,seed,scope,parent,n_quartets,J3_count,J3_denominator,J3,J3_source_field,J4,atomic_correct_n,atomic_denominator,atomic_accuracy,atomic_source_field,AB_correct_n,AB_denominator,AB_accuracy,AB_source_field,full_repair,migration,baseline111_regression,paper_CCM,source_file
canonical224_159,pretrained,flip,805,parent,128,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,140,4,0,4,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,4,0.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,146,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,165,2,1,2,0.5,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,2,0.5,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,181,3,2,3,0.6666666666666666,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,3,0.6666666666666666,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,183,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,185,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,203,2,0,2,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,2,0.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,209,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,211,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,215,3,3,3,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,216,4,4,4,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,228,4,3,4,0.75,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,3,4,0.75,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,239,3,3,3,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,245,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,252,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,272,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,290,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,300,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,303,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,310,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,314,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,317,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,321,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,325,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,329,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,336,4,4,4,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,345,3,1,3,0.3333333333333333,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,1,3,0.3333333333333333,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,350,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,353,2,1,2,0.5,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,2,0.5,atomic_joint,1,2,0.5,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,356,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,0,1,0.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,363,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,364,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,369,4,4,4,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,371,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,377,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,0,1,0.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,378,3,2,3,0.6666666666666666,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,3,0.6666666666666666,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,382,2,0,2,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,2,0.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,384,4,2,4,0.5,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,4,0.5,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,392,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,396,3,2,3,0.6666666666666666,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,2,3,0.6666666666666666,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,400,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,401,4,3,4,0.75,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,4,0.75,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,413,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,0,1,0.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,414,3,3,3,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,417,2,2,2,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,2,2,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,418,2,0,2,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,2,2,1.0,atomic_joint,0,2,0.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,421,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,424,4,4,4,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,436,4,4,4,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,4,4,1.0,atomic_joint,4,4,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,441,3,1,3,0.3333333333333333,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,1,3,0.3333333333333333,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,443,3,3,3,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,444,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,458,3,3,3,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,3,3,1.0,atomic_joint,3,3,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,460,1,1,1,1.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,1,1,1.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
canonical224_159,pretrained,flip,805,parent,461,1,0,1,0.0,predictions.npz logits/labels disaggregated; sums locked to result.json J,missing,1,1,1.0,atomic_joint,0,1,0.0,AB,missing,missing,missing,missing,artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/pretrained_flip_s805/predictions.npz
